login_location_diff,login_ip_diff,behavior_anomaly,failed_logins,successful_logins,account_age_days,password_change_freq,suspicious_activity,login_time_diff,access_device_change,email_change,ip_blacklisted,password_strength,account_locked,multiple_failed_logins,unusual_time_logins,login_frequency,suspicious_ips,device_fingerprint_change,high_risk_location,account_role_change,access_time_hours,unusual_login_location,file_access_frequency,unauthorized_app_access,data_exfiltration_attempts,network_anomalies,login_duration,high_volume_downloads,unusual_login_ip_range,multi_factor_auth_enabled,account_privilege_changes,email_forwarding,system_alerts_generated,remote_access,suspicious_file_modifications,unusual_file_uploads,compromised_device,access_to_restricted_areas,unusual_account_activity,external_links_in_emails,data_access_by_role,compromised
0,1,0,2,29,1533,170,0,12.534910703788524,0,0,0,3,0,1,0,7,1,1,1,1,2,1,0,0,1,0,78.04345944712874,0,1,0,0,0,1,0,0,1,1,1,0,1,3,1
1,0,1,1,20,1814,228,1,100.2506791876731,0,0,0,6,1,0,1,6,0,1,0,0,5,1,2,1,1,1,15.727519301113343,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0
0,0,1,2,22,1741,141,1,21.352934664348705,1,0,0,5,0,1,0,10,0,0,0,0,6,0,2,0,1,0,6.748544077832113,1,1,1,1,1,4,1,0,1,1,1,0,0,1,0
0,0,1,5,19,605,156,1,29.63005956379281,0,1,0,5,1,0,1,4,1,1,0,1,3,0,3,0,0,1,48.9394459348063,3,1,1,1,0,0,0,2,1,1,0,0,2,1,1
0,0,1,1,27,2877,50,1,13.219705648595799,1,0,1,2,0,1,0,10,2,1,0,0,4,0,5,0,0,0,8.189481686610788,2,0,1,1,0,0,1,1,1,1,0,1,1,4,0
1,0,0,3,21,1486,176,1,11.724142225123085,1,0,0,8,0,0,0,15,0,0,0,0,2,0,4,1,1,0,26.179803466132174,1,1,0,0,0,3,0,0,1,0,0,1,1,3,0
0,1,1,0,21,3270,118,1,0.7025659609137428,1,0,1,5,1,1,0,14,2,0,1,0,6,1,8,0,0,1,3.185085420525944,2,0,1,1,1,3,0,0,0,0,1,0,0,1,0
0,0,0,2,19,1294,332,0,20.81444143989937,0,1,0,2,1,2,0,8,0,1,1,0,8,1,3,0,1,0,3.4037442708540273,1,0,1,1,1,0,1,1,1,1,1,1,1,2,0
0,1,0,1,27,745,232,0,19.826731847590757,0,1,0,7,0,1,0,9,0,1,0,1,6,1,1,0,2,1,16.479428602563484,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,15,557,114,0,5.15322741466676,1,1,0,9,0,0,1,9,1,1,0,0,6,0,1,1,2,1,5.484087943217003,0,0,1,0,1,2,0,1,0,0,1,0,1,2,1
0,0,0,2,15,2111,196,1,43.35891898363683,1,0,1,9,1,1,1,7,0,0,0,0,6,0,1,1,1,1,1.0118094922194907,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
0,0,0,2,17,3301,101,1,20.358064052416772,1,0,0,1,0,3,1,17,0,1,0,1,5,0,6,0,0,0,52.19999557724222,2,1,1,0,0,1,0,0,0,1,0,0,2,3,1
